probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
219498_s_at	53335	BCL11A	0.0849031493729988	0.772769912090482	0.0830336345002203	3.0527695438733	0.766382879298536	0.677955403882664	0.950729000453283
204258_at	1105	CHD1	0.563883075302511	0.858369958371799	0.0817412992931718	3.6724569983887	0.76794530383155	1.43470643077466	0.950729000453283
207563_s_at	8473	OGT	0.489978332524935	1.01005807013903	0.0820774786355439	3.80515893561947	0.768104682156658	0.744992383438082	0.950729000453283
204805_s_at	8971	H1FX	0.914197429146169	1.55704747551662	0.0800906814340384	3.96623162600651	0.768161475003921	0.679106972315345	0.950729000453283
201548_s_at	10765	KDM5B	0.914854117621169	1.3663942453848	0.0795259643856162	3.77904700251744	0.770024824910248	0.77222708856344	0.950903139486481
209107_x_at	8648	NCOA1	0.121115951825227	0.846737304719607	0.0802846807190796	4.0183289940102	0.773178236882551	0.727276970290454	0.951563888745316
213720_s_at	6597	SMARCA4	0.205126757271263	0.410857823213116	0.0825384056455477	4.20433946856742	0.774672816140062	1.6021608356041	0.951563888745316
205436_s_at	3014	H2AFX	0.14601256658888	2.37601970927708	0.0577136198146532	4.12132572384847	0.775731431042377	0.744186476154263	0.951563888745316
208506_at	8968	HIST1H3F	0.727027431713059	0.948821566732253	0.0754259155475467	4.08329705984672	0.784902128273834	1.28733285227908	0.959940466712643
211722_s_at	10013	HDAC6	0.265308626547195	0.514693274668347	0.0688001505321499	4.42029168067421	0.786038208250208	1.35532970535292	0.959940466712643
211790_s_at	8085	KMT2D	0.787334649040166	0.704537912770496	0.0749534235068534	4.2739566853057	0.789691010864912	1.25739006029506	0.960160858695914
202261_at	6944	VPS72	0.952719680812614	1.38149445422908	0.0782397313304953	3.5333079175955	0.78969751784048	0.742310134873671	0.960160858695914
208442_s_at	472	ATM	0.816604527825405	1.41027694013234	0.0746543693218085	3.81210130821519	0.79337502288997	0.795251503986938	0.961595710067704
203057_s_at	7799	PRDM2	0.141299217213555	0.907090674701607	0.090694045728358	3.94569990891846	0.794393425742074	0.725276297311649	0.961595710067704
215065_at	23133	PHF8	0.96625110128326	0.747595043526333	0.0782476428284437	4.13624244436927	0.796103694748081	1.33886657730295	0.961595710067704
203080_s_at	29994	BAZ2B	0.483666569034004	1.84596404620637	0.0752808615988833	4.3101193948997	0.799999886909288	0.728901554348655	0.962201189340268
202247_s_at	9112	MTA1	0.306477435822348	0.893429255558834	0.0830318737617586	3.70390005601349	0.800412645599116	0.768410085916082	0.962201189340268
212257_s_at	6595	SMARCA2	0.193281058307809	0.859322819883475	0.0756415736522082	3.96450911893007	0.801834324450223	0.774470009942001	0.962201189340268
201459_at	10856	RUVBL2	0.95129277253242	1.35624444808566	0.0775533134188181	3.81823426938899	0.812502888639967	0.769569497227603	0.972888491386685
214299_at	7156	TOP3A	0.69992943271411	0.643138331838105	0.0743385762395432	4.07977149421562	0.824852946143882	1.30921542833758	0.978852320715852
201549_x_at	10765	KDM5B	0.650783602781307	1.47624149450205	0.0853672911981889	3.8245317882312	0.826965891996899	0.818399294754039	0.978852320715852
211310_at	2145	EZH1	0.275111107582534	0.822055332547871	0.0847162151900582	3.73704012468292	0.827942227690629	0.821180135830849	0.978852320715852
214754_at	200424	TET3	0.753967150028172	1.06577974167903	0.0706870691149973	3.61405972857554	0.832678276028016	0.791379344846819	0.978852320715852
203183_s_at	6602	SMARCD1	0.0354538053911964	0.644395775018669	0.0579368620889164	3.85424154991997	0.833424929219819	0.822496967747926	0.978852320715852
206554_x_at	6419	SETMAR	0.775995288414549	1.10032101319847	0.0729354608165542	3.7051979958982	0.834095736355507	0.759070633312978	0.978852320715852
